algorithm,row_index,model,metric_name,historical_score,probe_score,score_delta,parsed_edge_count,historical_model
algo1,0,mistral-small-2603,accuracy,0.8928571428571429,0.9383116883116883,0.045454545454545414,5,gpt-5
algo1,0,mistral-small-2603,recall,0.4210526315789473,0.05263157894736842,-0.36842105263157887,5,gpt-5
algo1,0,mistral-small-2603,precision,0.2666666666666666,0.5,0.2333333333333334,5,gpt-5
algo1,0,mistral-medium-2508,accuracy,0.8928571428571429,0.9415584415584416,0.04870129870129869,5,gpt-5
algo1,0,mistral-medium-2508,recall,0.4210526315789473,0.10526315789473684,-0.31578947368421045,5,gpt-5
algo1,0,mistral-medium-2508,precision,0.2666666666666666,0.6666666666666666,0.4,5,gpt-5
algo1,40,mistral-small-2603,accuracy,0.9025974025974026,0.9383116883116883,0.0357142857142857,9,gpt-5
algo1,40,mistral-small-2603,recall,0.3684210526315789,0.05263157894736842,-0.3157894736842105,9,gpt-5
algo1,40,mistral-small-2603,precision,0.28,0.5,0.21999999999999997,9,gpt-5
algo1,40,mistral-medium-2508,accuracy,0.9025974025974026,0.9383116883116883,0.0357142857142857,5,gpt-5
algo1,40,mistral-medium-2508,recall,0.3684210526315789,0.10526315789473684,-0.2631578947368421,5,gpt-5
algo1,40,mistral-medium-2508,precision,0.28,0.5,0.21999999999999997,5,gpt-5
algo1,80,mistral-small-2603,accuracy,0.8928571428571429,0.9415584415584416,0.04870129870129869,8,gpt-5
algo1,80,mistral-small-2603,recall,0.631578947368421,0.10526315789473684,-0.5263157894736842,8,gpt-5
algo1,80,mistral-small-2603,precision,0.3157894736842105,0.6666666666666666,0.3508771929824561,8,gpt-5
algo1,80,mistral-medium-2508,accuracy,0.8928571428571429,0.9415584415584416,0.04870129870129869,5,gpt-5
algo1,80,mistral-medium-2508,recall,0.631578947368421,0.15789473684210525,-0.47368421052631576,5,gpt-5
algo1,80,mistral-medium-2508,precision,0.3157894736842105,0.6,0.28421052631578947,5,gpt-5
algo1,120,mistral-small-2603,accuracy,0.922077922077922,0.935064935064935,0.012987012987012991,5,gpt-5
algo1,120,mistral-small-2603,recall,0.3157894736842105,0.0,-0.3157894736842105,5,gpt-5
algo1,120,mistral-small-2603,precision,0.3529411764705882,0.0,-0.3529411764705882,5,gpt-5
algo1,120,mistral-medium-2508,accuracy,0.922077922077922,0.9415584415584416,0.019480519480519543,5,gpt-5
algo1,120,mistral-medium-2508,recall,0.3157894736842105,0.15789473684210525,-0.15789473684210525,5,gpt-5
algo1,120,mistral-medium-2508,precision,0.3529411764705882,0.6,0.24705882352941178,5,gpt-5
algo2,0,mistral-small-2603,accuracy,0.8863636363636364,0.935064935064935,0.04870129870129869,5,gpt-5
algo2,0,mistral-small-2603,recall,0.4210526315789473,0.0,-0.4210526315789473,5,gpt-5
algo2,0,mistral-small-2603,precision,0.25,0.0,-0.25,5,gpt-5
algo2,0,mistral-medium-2508,accuracy,0.8863636363636364,0.9415584415584416,0.05519480519480524,5,gpt-5
algo2,0,mistral-medium-2508,recall,0.4210526315789473,0.15789473684210525,-0.26315789473684204,5,gpt-5
algo2,0,mistral-medium-2508,precision,0.25,0.6,0.35,5,gpt-5
algo2,80,mistral-small-2603,accuracy,0.9383116883116884,0.9383116883116883,-1.1102230246251565e-16,6,gpt-5
algo2,80,mistral-small-2603,recall,0.3684210526315789,0.05263157894736842,-0.3157894736842105,6,gpt-5
algo2,80,mistral-small-2603,precision,0.5,0.5,0.0,6,gpt-5
algo2,80,mistral-medium-2508,accuracy,0.9383116883116884,0.9415584415584416,0.0032467532467531646,5,gpt-5
algo2,80,mistral-medium-2508,recall,0.3684210526315789,0.15789473684210525,-0.21052631578947367,5,gpt-5
algo2,80,mistral-medium-2508,precision,0.5,0.6,0.09999999999999998,5,gpt-5
algo2,160,mistral-small-2603,accuracy,0.9415584415584416,0.9415584415584416,0.0,6,gpt-5
algo2,160,mistral-small-2603,recall,0.4210526315789473,0.10526315789473684,-0.31578947368421045,6,gpt-5
algo2,160,mistral-small-2603,precision,0.5333333333333333,0.6666666666666666,0.1333333333333333,6,gpt-5
algo2,160,mistral-medium-2508,accuracy,0.9415584415584416,0.9415584415584416,0.0,4,gpt-5
algo2,160,mistral-medium-2508,recall,0.4210526315789473,0.10526315789473684,-0.31578947368421045,4,gpt-5
algo2,160,mistral-medium-2508,precision,0.5333333333333333,0.6666666666666666,0.1333333333333333,4,gpt-5
algo2,240,mistral-small-2603,accuracy,0.948051948051948,0.935064935064935,-0.012987012987012991,6,gpt-5
algo2,240,mistral-small-2603,recall,0.4210526315789473,0.0,-0.4210526315789473,6,gpt-5
algo2,240,mistral-small-2603,precision,0.6153846153846154,0.0,-0.6153846153846154,6,gpt-5
algo2,240,mistral-medium-2508,accuracy,0.948051948051948,0.9383116883116883,-0.009740259740259716,5,gpt-5
algo2,240,mistral-medium-2508,recall,0.4210526315789473,0.10526315789473684,-0.31578947368421045,5,gpt-5
algo2,240,mistral-medium-2508,precision,0.6153846153846154,0.5,-0.11538461538461542,5,gpt-5
algo3,0,mistral-small-2603,recall,0.0,0.0,0.0,23,gpt-5
algo3,0,mistral-medium-2508,recall,0.0,0.0,0.0,24,gpt-5
algo3,60,mistral-small-2603,recall,0.0,0.0,0.0,17,gpt-5
algo3,60,mistral-medium-2508,recall,0.0,0.0,0.0,16,gpt-5
algo3,120,mistral-small-2603,recall,0.0,0.0,0.0,15,gpt-5
algo3,120,mistral-medium-2508,recall,0.0,0.0,0.0,21,gpt-5
algo3,180,mistral-small-2603,recall,0.0,0.0,0.0,84,gpt-5
algo3,180,mistral-medium-2508,recall,0.0,0.0,0.0,20,gpt-5
